DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2024-05-09 07:40:56,10,53,0,420.113,274.285,26.5,4348,115222,0,0,46.472,347.906
2024-05-09 07:40:58,10,85,0,294.894,24.993,42.5,4348,184790,0,0,3.259,291.059
2024-05-09 07:41:00,10,67,0,283.985,17.883,33.5,4348,145658,0,0,3.179,278.612
2024-05-09 07:41:02,10,56,0,358.304,133.205,28,4348,121744,0,0,3.304,354.286
2024-05-09 07:41:04,10,71,0,290.887,18.177,35.5,4348,154354,0,0,2.113,288.211
2024-05-09 07:41:06,10,72,0,280.306,16.204,36,4348,156528,0,0,2.097,277.722
2024-05-09 07:41:08,10,69,0,278.304,15.023,34.5,4348,150006,0,0,2.522,275.638
2024-05-09 07:41:10,10,69,0,286.609,21.86,34.5,4348,150006,0,0,2.29,284.391
2024-05-09 07:41:12,10,73,0,277.233,17.735,36.5,4348,158702,0,0,1.808,274.904
2024-05-09 07:41:14,10,75,0,268.4,14.995,37.5,4348,163050,0,0,2.12,266.027
2024-05-09 07:41:16,10,69,0,279.667,17.445,34.5,4348,150006,0,0,2.174,277.275
2024-05-09 07:41:18,10,74,0,272.405,22.999,37,4348,160876,0,0,1.824,270.284
2024-05-09 07:41:20,10,68,0,280.529,18.625,34,4348,147832,0,0,1.779,278.25
2024-05-09 07:41:22,10,73,0,286.288,42.942,36.5,4348,158702,0,0,1.918,284.082
2024-05-09 07:41:24,10,74,0,272.662,23.507,37,4348,160876,0,0,2.757,270.486
2024-05-09 07:41:26,10,66,0,297.803,83.064,33,4348,143484,0,0,12.924,290.697
2024-05-09 07:41:28,10,73,0,275.014,16.693,36.5,4348,158702,0,0,2.384,272.63
